File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Medial Tibia of OA_37.jpg,4.98E+00,1.38E+00,4.09E-01,3.09E+00,2.46E-01,1.56E+00,OA
Medial Tibia of OA_38.jpg,4.70E+00,1.27E+00,1.57E-01,3.13E+00,2.55E-01,1.53E+00,OA
Medial Tibia of OA_39.jpg,4.77E+00,1.70E+00,7.68E-02,2.76E+00,2.13E-01,1.68E+00,OA
Medial Tibia of OA_4.jpg,5.14E+00,1.23E+00,-1.74E-02,2.96E+00,2.55E-01,1.52E+00,OA
Medial Tibia of OA_40.jpg,5.32E+00,1.34E+00,-1.57E-01,2.95E+00,2.48E-01,1.56E+00,OA
Medial Tibia of OA_41.jpg,5.40E+00,1.31E+00,-1.30E-01,3.01E+00,2.46E-01,1.55E+00,OA
Medial Tibia of OA_42.jpg,4.41E+00,1.29E+00,2.52E-01,2.95E+00,2.48E-01,1.54E+00,OA
Medial Tibia of OA_43.jpg,5.08E+00,9.88E-01,-1.52E-02,3.30E+00,2.93E-01,1.41E+00,OA
Medial Tibia of OA_44.jpg,4.68E+00,1.33E+00,1.19E-01,2.92E+00,2.44E-01,1.56E+00,OA
Medial Tibia of OA_45.jpg,4.70E+00,1.54E+00,1.33E-01,2.88E+00,2.26E-01,1.63E+00,OA
Medial Tibia of OA_46.jpg,5.51E+00,1.35E+00,-3.26E-01,3.04E+00,2.48E-01,1.56E+00,OA
Medial Tibia of OA_47.jpg,5.36E+00,1.30E+00,-8.04E-02,3.02E+00,2.52E-01,1.54E+00,OA
Medial Tibia of OA_48.jpg,4.69E+00,1.47E+00,1.62E-01,2.99E+00,2.34E-01,1.61E+00,OA
Medial Tibia of OA_49.jpg,3.26E+00,6.17E-01,1.61E-01,3.22E+00,3.60E-01,NaN,OA
Medial Tibia of OA_5.jpg,4.44E+00,1.00E+00,2.24E-01,3.15E+00,2.85E-01,1.42E+00,OA
Medial Tibia of OA_50.jpg,5.08E+00,1.39E+00,-1.63E-01,2.99E+00,2.42E-01,1.58E+00,OA
Medial Tibia of OA_51.jpg,4.98E+00,1.31E+00,-8.40E-02,2.91E+00,2.49E-01,1.55E+00,OA
Medial Tibia of OA_52.jpg,5.37E+00,1.09E+00,-8.35E-02,3.05E+00,2.71E-01,1.46E+00,OA
Medial Tibia of OA_53.jpg,4.51E+00,1.38E+00,1.82E-01,2.83E+00,2.38E-01,1.57E+00,OA
Medial Tibia of OA_54.jpg,4.83E+00,1.23E+00,5.78E-03,3.10E+00,2.59E-01,1.52E+00,OA
Medial Tibia of OA_55.jpg,5.08E+00,1.34E+00,-7.36E-03,2.87E+00,2.41E-01,1.56E+00,OA
Medial Tibia of OA_56.jpg,5.34E+00,1.38E+00,-2.09E-01,3.00E+00,2.41E-01,1.58E+00,OA
Medial Tibia of OA_57.jpg,4.81E+00,1.31E+00,7.16E-02,2.89E+00,2.45E-01,1.55E+00,OA
Medial Tibia of OA_58.jpg,4.45E+00,9.73E-01,1.16E-01,2.97E+00,2.85E-01,1.40E+00,OA
Medial Tibia of OA_59.jpg,5.11E+00,1.51E+00,1.40E-02,2.82E+00,2.26E-01,1.63E+00,OA
Medial Tibia of OA_6.jpg,4.59E+00,1.26E+00,-2.52E-02,3.06E+00,2.51E-01,1.53E+00,OA
Medial Tibia of OA_60.jpg,4.81E+00,1.62E+00,1.42E-01,2.60E+00,2.16E-01,1.65E+00,OA
Medial Tibia of OA_61.jpg,5.23E+00,1.08E+00,4.39E-02,3.13E+00,2.75E-01,1.45E+00,OA
Medial Tibia of OA_62.jpg,5.18E+00,1.58E+00,-7.42E-02,2.93E+00,2.24E-01,1.65E+00,OA
Medial Tibia of OA_63.jpg,4.80E+00,1.18E+00,1.48E-01,2.93E+00,2.59E-01,1.50E+00,OA
Medial Tibia of OA_64.jpg,5.23E+00,1.31E+00,-1.40E-01,2.80E+00,2.44E-01,1.55E+00,OA
Medial Tibia of OA_65.jpg,4.83E+00,1.50E+00,4.66E-02,2.80E+00,2.27E-01,1.62E+00,OA
Medial Tibia of OA_66.jpg,5.18E+00,1.44E+00,-7.54E-02,3.29E+00,2.44E-01,1.59E+00,OA
Medial Tibia of OA_67.jpg,4.57E+00,1.44E+00,3.69E-01,3.35E+00,2.44E-01,1.59E+00,OA
Medial Tibia of OA_68.jpg,5.68E+00,1.36E+00,-3.79E-01,2.91E+00,2.44E-01,1.55E+00,OA
Medial Tibia of OA_7.jpg,5.45E+00,1.53E+00,-2.07E-01,2.88E+00,2.28E-01,1.62E+00,OA
Medial Tibia of OA_8.jpg,4.67E+00,1.32E+00,1.12E-01,3.11E+00,2.47E-01,1.56E+00,OA
Medial Tibia of OA_9.jpg,3.36E+00,7.79E-01,1.13E+00,8.20E+00,3.53E-01,1.22E+00,OA
